town,salesprice,lotarea,AC
SHERRILL,140000,13068,Yes
NEW VIENNA,172000,5830,Yes
DYERSVILLE,312000,62400,Yes
DUBUQUE,248000,12636,Yes
DUBUQUE,259000,15343,No
DUBUQUE,295000,15750,Yes
DUBUQUE,450000,16200,Yes
DUBUQUE,170000,5046,Yes
DUBUQUE,20000,51240,unknown
DUBUQUE,60000,5000,Yes
DUBUQUE,45000,5000,Yes
DUBUQUE,56000,5350,No
DUBUQUE,55000,2184,No
DUBUQUE,92500,5000,No
DUBUQUE,59000,2720,No
DUBUQUE,176000,12155,Yes
DUBUQUE,157000,10075,Yes
DUBUQUE,156000,7350,Yes
DUBUQUE,270000,15000,Yes
DUBUQUE,176300,16000,Yes
DUBUQUE,194000,5446,Yes
DUBUQUE,154900,2500,Yes
ASBURY,175000,11250,Yes
DUBUQUE,305000,13000,Yes
ASBURY,218000,12330,Yes
unknown,51000,10710,unknown
DUBUQUE,150000,7680,No
DUBUQUE,140000,6420,Yes
DUBUQUE,259900,5836,Yes
DUBUQUE,144000,5200,Yes
DUBUQUE,177500,0,Yes
DUBUQUE,112000,14432,No
DUBUQUE,119000,8850,Yes
DUBUQUE,130000,12400,Yes
DUBUQUE,130000,5000,Yes
DUBUQUE,198000,5000,Yes
DUBUQUE,116000,5000,Yes
DUBUQUE,142500,10556,Yes
DUBUQUE,0,9520,Yes
DUBUQUE,225000,10764,Yes
DUBUQUE,49500,25721,Yes
DUBUQUE,67900,10244,unknown
DUBUQUE,67900,7520,Yes
DUBUQUE,163500,12480,Yes
DUBUQUE,64000,3038,No
DUBUQUE,134000,5550,No
DUBUQUE,134000,5550,No
DUBUQUE,138000,7930,No
DUBUQUE,107500,2500,Yes
DUBUQUE,87000,14300,Yes
DUBUQUE,198000,5000,unknown
DUBUQUE,180000,14850,Yes
DUBUQUE,75000,6840,No
DUBUQUE,162000,5945,No
DUBUQUE,210000,11550,Yes
DUBUQUE,159500,5880,Yes
DUBUQUE,110000,4700,Yes
DUBUQUE,169100,5800,Yes
DUBUQUE,337750,0,Yes
DUBUQUE,252000,6589,Yes
DUBUQUE,162500,11500,Yes
DUBUQUE,46000,21320,Yes
DUBUQUE,127500,3060,Yes
DUBUQUE,210000,6638,Yes
DUBUQUE,125000,5000,Yes
WORTHINGTON,38000,8000,Yes
WORTHINGTON,38000,8000,Yes
FARLEY,135500,8712,Yes
EPWORTH,140907,58370,No
EPWORTH,122900,6960,No
EPWORTH,180000,8251,Yes
FARLEY,605000,35040,Yes
DUBUQUE,227000,7998,Yes
DUBUQUE,339000,73268,Yes
DUBUQUE,630000,24829,Yes
DUBUQUE,264000,8625,Yes
unknown,55500,8807,unknown
DYERSVILLE,83500,5848,Yes
DYERSVILLE,119000,8906,Yes
DYERSVILLE,150000,8000,Yes
DYERSVILLE,197000,7590,Yes
DYERSVILLE,95420,8625,Yes
ASBURY,305000,48787,Yes
DUBUQUE,335000,25500,Yes
DUBUQUE,325000,0,Yes
DUBUQUE,236000,12455,Yes
ASBURY,229000,10192,Yes
unknown,46000,10192,unknown
ASBURY,304000,9831,Yes
unknown,45000,8960,unknown
DUBUQUE,362000,43560,Yes
DUBUQUE,290000,43560,Yes
